Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Intravacc/ Wageningen Bioveterinary Research/Utrecht Univ.,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Newcastle disease virus vector (NDV-SARS-CoV-2/Spike),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
"Israel
  Institute for Biological Research/ Weizmann Institute of Science",Vaccine,Replicating viral vector,Pre-clinical,Unknown,VSV-S ,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/23/2020
KU Leuven,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; YF17D Vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"The Lancaster University, UK",Vaccine,Replicating viral vector,Pre-clinical,Unknown,Avian paramyxovirus vector (APMV),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
The University of Hong Kong,Vaccine,Replicating viral vector,Pre-clinical,Unknown,"Replicating viral vector, influenza vector expressing RBD",,Coalition for Epidemic Preparedness (CEPI),,Same platform as vaccine candidates for MERS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Tonix Pharma / Southern Research,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; horsepox vector expressing S protein; TNX-1800,,Unknown,,"Same platform as vaccine candidates for smallpox, monkeypox",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
University of Western Ontario,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; VSV-S,,Unknown,,"Same platform as vaccine candidates for HIV, MERS",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
University of Wisconsin-Madison / FluGen/ Bharat Biotech,Vaccine,Replicating viral vector,Pre-clinical,Start Phase I trial in fall 2020,M2-deficient single replication (M2SR) influenza vector,,Unknown,,Same platform as vaccine candidates for influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Zydus Cadila Healthcare Limited ,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; measles vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Moderna/ NIAID/ Lonza/ Catalent/ Rovi/ Medidata,Vaccine,RNA-based vaccine,Phase II,Interim analysis results of Phase I study published in July 2020; will join US Operation Warp Speed vaccine Phase III trials in July 2020; Completed enrollment for both cohorts of the Phase II study in early July 2020; FDA granted fast track designation May 2020,RNA; LNP-encapsulated mRNA (mRNA 1273),"NCT04283461, NCT04405076, NCT04470427",Coalition for Epidemic Preparedness (CEPI)/ Biomedical Advanced Research and Development Authority (BARDA),"Moderna (https://investors.modernatx.com/news-releases/news-release-details/moderna-announces-positive-interim-phase-1-data-its-mrna-vaccine), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2022483)",Same platform as vaccine candidates for multiple candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/24/2020
BioNTech/ Fosun Pharma/ Pfizer,Vaccine,RNA-based vaccine,Phase I,Joined US Operation Warp Speed in July 2020; FDA granted Fast Track designation for two BNT162 candidates (BNT162b1 and BNT162b2); Phase IIb/III trial may start as early as July 2020; Phase I/II started April 2020; preliminary data from ongoing Phase I/II trial released July 2020,"3 LNP-mRNAs; BNT162 
","EudraCT 2020-001038-36, NCT04368728, ChiCTR2000034825",Unknown,"Pfizer (https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-announce-early-positive-data-ongoing-0), medRxiv (https://www.medrxiv.org/content/10.1101/2020.06.30.20142570v1), medRxiv (https://www.medrxiv.org/content/10.1101/2020.07.17.20140533v1)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/24/2020
CureVac,Vaccine,RNA-based vaccine,Phase I,Start Phase I/IIa trial June 2020,RNA; mRNA,NCT04449276,Coalition for Epidemic Preparedness (CEPI); European Commission; Gates Foundation; Defense Advanced Research Projects Agency (DARPA); German Government; European Investment Bank (EIB),,"Same platform as vaccine candidates for RABV, LASV, YFV, MERS, InfA, ZIKV, DengV, NIPV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/10/2020
Imperial College London/ VacEquity Global Health,Vaccine,RNA-based vaccine,Phase I,Phase I/II trial started June 2020,RNA; LNP-nCoVsaRNA,ISRCTN17072692,UK Government,,"Same platform as vaccine candidates for EBOV, LASV, MARV, Inf (H7N9), RABV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/10/2020
"Arcturus/Duke-NUS/ Catalent
",Vaccine,RNA-based vaccine,Pre-clinical,Start Phase I trial August 2020,LUNAR-COV19; RNA; mRNA,NCT04480957,Unknown,,Same platform as vaccine candidates for multiple candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/24/2020
BIOCAD,Vaccine,RNA-based vaccine,Pre-clinical,Animal studies begin in April 2020,RNA; liposome-encapsulated mRNA,,Unknown,,Same platform as vaccine candidates for cancer   ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
CanSino Biologics/Precision Nanosystems,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; mRNA lipid nanoparticle (mRNA-LNP),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/21/2020
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; Replicating defective SARS-CoV-2 derived RNAs,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Chimeron Bio/ George Mason University's National Center for Biodefense and Infectious  Disease,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"Self amplifying RNA, self-assembling delivery system",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
China CDC / Tongji University / Stermina,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Chula Vaccine Research Center/University of Pennsylvania,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,LNP-mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/26/2020
Elixirgen Therapeutics,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,srRNA (EXG-5003),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/23/2020
eTheRNA Immunotherapies / EpiVax/ Nexelis/ REPROCELL / Centre for the Evaluation of Vaccination of the University of Antwerp,Vaccine,RNA-based vaccine,Pre-clinical,Start Phase I early 2021,RNA; mRNA in an intranasal delivery system (cross-strain protective COV-2 mRNA) vaccine for high-risk populations,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Fudan University / Shanghai JiaoTong University / RNACure Biopharma,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; LNP-encapsulated mRNA cocktail encoding VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Fudan University / Shanghai JiaoTong University / RNACure Biopharma,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; LNP-encapsulated mRNA cocktail encoding RBD,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
GeneOne Life Science / Houston Methodist,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Gennova,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"Self-amplifying
  RNA",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
"Greenlight Biosciences
",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"mRNA
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
"IDIBAPS- Hospital Clinic, Spain",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
Max Planck Institute of Colloids and Interfaces,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA in targeted LPNs (Langerhans cell specific),,KHAN-1 Technology Transfer Fund I GmbH & Co KG,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
People's Liberation Army (PLA) Academy of Military Sciences/ Walvax Biotech,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA,ChiCTR2000034112,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/10/2020
"RNAimmune, Inc.",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; several mRNA candidates,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Sanofi Pasteur / Translate Bio,Vaccine,RNA-based vaccine,Pre-clinical,Phase I to start Q4 2020,"LNP-mRNA
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/24/2020
Selcuk University,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
University of Tokyo / Daiichi-Sankyo,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; LNP-encapsulated mRNA,,Unknown,,Same platform as vaccine candidates for MERS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Ziphius Therapeutics/ Ghent University,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"RNA; ZIP-1642, vaccine consists of a combination of mRNA molecules, encoding multiple SARS-CoV-2 antigens",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Medicago Inc.,Vaccine,Virus-like particle,Phase I,Phase I started July 2020; Phase II/III is expected to start by October 2020,VLP; plant-derived VLP adjuvanted with GSK or Dynavax adjs.,NCT04450004,Unknown,,"Same platform as vaccine candidates for flu, rotavirus, norovirus, West Nile virus, and cancer",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/17/2020
"ARTES Biotechnology
",Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP; eVLP,,Unknown,,"Same platform as vaccine candidates for malaria
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Bezmialem Vakif University,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/21/2020
Doherty Institute,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP; unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Imophoron Ltd / Bristol University's Max Planck Centre,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP; ADDomerTM multiepitope display,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
IrsiCaixa AIDS Research/ IRTA-CReSA/ Barcelona Supercomputing Centre/ Grifols,Vaccine,Virus-like particle,Pre-clinical,Unknown,S protein integrated in HIV VLPs,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/23/2020
Mahidol University/ The Government Pharmaceutical Organization (GPO)/ Siriraj Hospital,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP + Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
"Medicago
  Inc./ GSK",Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP (CoVLP)+ Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/14/2020
Medicago Inc./ Dynavax,Vaccine,Virus-like particle,Pre-clinical,Phase I to start mid-July 2020,VLP (CoVLP)+ Adjuvant (CpG 1018),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/10/2020
Middle East Technical University,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Navarrabiomed, Oncoimmunology group",Vaccine,Virus-like particle,Pre-clinical,Unknown,"Virus-like particles, lentivirus, and baculovirus vehicles",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
OSIVAX,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP (COVID-19 and SARS1),,European Innovation Council (EIC),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Saiba GmbH,Vaccine,Virus-like particle,Pre-clinical,Unknown,"VLP; virus-like particle, based on RBD displayed on virus-like particle",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
University of Sao Paulo,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLPs peptides/whole virus,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
VBI Vaccines / National Research Council of Canada,Vaccine,Virus-like particle,Pre-clinical,Start Phase I testing by end of 2020,"Enveloped virus-like particle (eVLP): Pan-coronavirus vaccine candidate, targeting COVID-19, SARS, and MERS, spike protein",,Unknown,,"Same platform as vaccine candidates for glioblastoma, cytomegalovirus, and Zika",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
AbVision,Vaccine,Unknown,Pre-clinical,Unknown,AVI-205,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/13/2020
Adeleke University,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
"Catholic University/ Millennium Institute of Immunology and Immunotherapy/ Technological Consortium in Clinical Molecular Biomedicine, Chile",Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
Codiak BioSciences/ Ragon Institute,Vaccine,Unknown,Pre-clinical,Unknown,exoVACC exome platform,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/4/2020
Covaxx,Vaccine,Unknown,Pre-clinical,Phase I to start in summer 2020,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/21/2020
Emergex Vaccines/ George Mason University's National Center for Biodefense and Infectious Diseases (NCBID),Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/24/2020
HaloVax (Voltron Therapeutics) / The Vaccine & Immunotherapy Center at the Massachusetts General Hospital,Vaccine,Unknown,Pre-clinical,Animal study results by October 2020,"Self-assembling vaccine (fusion protein of a heat shock protein and Avidin, with biotinylated immunogenic peptides)",,Analog Devices Foundation,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/21/2020
ISR Immune System Regulation,Vaccine,Unknown,Pre-clinical,"Animal study results expected in Q2 2020, Phase I begins Q4 2020",ISR-50,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
NidoVax,Vaccine,Unknown,Pre-clinical,Unknown,unknown; IMT504 technology,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/18/2020
"Oragenics (Noachis Terra)/ Aragen Bioscience
",Vaccine,Unknown,Pre-clinical,Phase I expected to start in early 2021,"TerraCoV2
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/23/2020
Precision Vaccines Program at Boston Children's Hospital,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Shenzhen Geno-Immune Medical Institute,Vaccine,Unknown,Pre-clinical,Unknown,Artificial antigen-presenting cells modified with lentiviral vector expressing synthetic minigene based on domains of selected viral proteins,NCT04299724,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
Shenzhen Geno-Immune Medical Institute,Vaccine,Unknown,Pre-clinical,Unknown,LV-SMENP-DC Dendritic cells modified with lentiviral vector expressing synthetic minigene based on domains of selected viral proteins; administered with antigen-specific cytotoxic T lymphocytes,NCT04276896,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
SK Biosciences,Vaccine,Unknown,Pre-clinical,Phase I begins as early as September 2020,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
SmartPharm Therapeutics / Sorrento Therapeutics,Vaccine,Unknown,Pre-clinical,Unknown,"Gene-encoded antibody vaccine, non-viral nanoparticle delivery",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Tulane University,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Vault Pharma/ University of California Los Angeles,Vaccine,Unknown,Pre-clinical,Unknown,nanoparticles (vaults) as second-line defense of infection,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Vir Biotechnology / GSK,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Vivaldi Biosciences/ Esco Aster Pte Ltd,Vaccine,Unknown,Pre-clinical,Unknown,Chimeric vaccine (coronavirus and influenza),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
"University of California, Los Angeles (Horwitz Lab)",Vaccine,Replicating bacterial vector,Pre-clinical,Unknown,Recombinant LVS ΔcapB – vectored vaccine expressing multiple SARS-CoV-2 antigens,,Unknown,,Same platform as vaccines against select agents and emerging pathogens,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/10/2020